mode,num_trades,total_realized_gain,total_tax_paid,market_value,liquidation_tax,after_liquidation_value
naive,99,103310.50558558872,10740.484693294597,1678009.8364419807,75413.00967474864,1602596.826767232
tax_aware,5,41011.49789765394,3814.7432401523497,1695537.2399649734,76757.94384682758,1618779.2961181458
